Date,Real Yield
1871.02,-0.011701559274257879
1871.03,0.014185912174564674
1871.04,0.07171895226212747
1871.05,0.05361729850041688
1871.06,0.011886369821209514
1871.07,-0.01409150854292205
1871.08,0.03340767592948113
1871.09,-0.008765315836043872
1871.1,-0.06151928896039239
1871.11,0.015562786417248706
1871.12,0.003075511275972536
1872.01,0.029831201923911855
1872.02,0.008669529616136954
1872.03,0.02195395352511599
1872.04,0.009826952514453856
1872.05,0.004451415701415702
1872.06,0.002126194476094246
1872.07,0.013512374995386687
1872.08,-0.014292232761379904
1872.09,-0.020145383932759605
1872.1,0.03144147337317838
1872.11,-0.027903937416932426
1872.12,0.04423889057148775
1873.01,0.012822683989701943
1873.02,-0.008986972559942002
1873.03,-0.0027523131875439553
1873.04,-0.00857296876132509
1873.05,0.02924177778088423
1873.06,0.021292493364479848
1873.07,0.0033155761880517597
1873.08,0.005365526492287055
1873.09,-0.07060363268938254
1873.1,-0.05945468402824681
1873.11,0.0018099933880913917
1873.12,0.07464109719741188
1874.01,0.043983455586725693
1874.02,0.03577208512160223
1874.03,-0.008769379844961078
1874.04,-0.006313657200930126
1874.05,-0.012278363554702625
1874.06,0.025785300635622132
1874.07,-0.0018357143189336907
1874.08,0.016478539530708457
1874.09,0.02171722397973789
1874.1,0.020228754793696815
1874.11,0.02317956978915623
1874.12,-0.000507282699852416
1875.01,0.006011380323054333
1875.02,0.003776017608179098
1875.03,0.019100152938290687
1875.04,0.010508124660690656
1875.05,-0.00855822614635204
1875.06,0.002605048188274176
1875.07,0.008215147543711922
1875.08,0.001905988119928777
1875.09,0.00525755031266707
1875.1,-0.010107453922977482
1875.11,0.03081039284551562
1875.12,0.014418278284958414
1876.01,0.035154806105820155
1876.02,0.01898388824953353
1876.03,0.0033308478700234028
1876.04,-0.02342317926409249
1876.05,0.004458511001588946
1876.06,0.02695169220378594
1876.07,-0.005950631795474621
1876.08,-0.0440622303510502
1876.09,-0.06298922361194902
1876.1,-0.01668741887233709
1876.11,-0.02096812996836459
1876.12,-0.016176681970475344
1877.01,-0.01879539886447972
1877.02,-0.026927258094651716
1877.03,0.0006174823137534606
1877.04,-0.09038410940042683
1877.05,-0.010655592028310467
1877.06,-0.011385774982836855
1877.07,0.04109216409739489
1877.08,0.11792938178496577
1877.09,0.07830604829685293
1877.1,0.02684914773786888
1877.11,0.009679810006567553
1877.12,0.0018043102092180916
1878.01,0.03578563105157962
1878.02,-0.006418264959995208
1878.03,0.04537301155014
1878.04,0.04350365043712943
1878.05,0.04106963520551555
1878.06,0.04867753090276572
1878.07,0.013479521628464563
1878.08,-0.015210771145200216
1878.09,0.024610404314887747
1878.1,0.00409802839299563
1878.11,0.012792054324186912
1878.12,0.021710718060434144
1879.01,0.029980854899340798
1879.02,0.028651425303304293
1879.03,-0.0006380769403761402
1879.04,0.04901628194579793
1879.05,0.04907549471066891
1879.06,0.02089729710298693
1879.07,0.012294987306945487
1879.08,0.01138356403207889
1879.09,0.005758140806977988
1879.1,0.053515374864659015
1879.11,0.0035658391487454442
1879.12,-0.027990765017331543
1880.01,0.012280193128678028
1880.02,0.02097790907722387
1880.03,0.01300206478177389
1880.04,0.019225368489414352
1880.05,-0.04731739304327329
1880.06,0.02890363245524485
1880.07,0.04983786775787311
1880.08,0.0397817082597813
1880.09,-0.008171884512377535
1880.1,0.03286622189061219
1880.11,0.04568687299004248
1880.12,0.03429615425565794
1881.01,0.07420767717882987
1881.02,-0.009554066463985586
1881.03,0.015017761535691163
1881.04,-0.009316722896372196
1881.05,0.05911332340492629
1881.06,0.015980438001714642
1881.07,-0.04063180273106034
1881.08,-0.03855250153374845
1881.09,-0.0255532476113115
1881.1,-0.020912435342612584
1881.11,0.02015330068056076
1881.12,-0.02464211057320553
1882.01,-0.010470537092833142
1882.02,-0.026411603413365563
1882.03,0.0028864944331893384
1882.04,-0.004562564670746336
1882.05,-0.016415600781150397
1882.06,-0.009522636647505701
1882.07,0.0703875521500463
1882.08,0.025033793901296023
1882.09,0.04202749682539887
1882.1,-0.013757338223068866
1882.11,-0.029212063102000793
1882.12,0.019296498738398615
1883.01,-0.0005357241097460807
1883.02,-0.026872388610060655
1883.03,0.02663278457970848
1883.04,0.03527734916027376
1883.05,-0.002808196812597274
1883.06,0.043576566179889045
1883.07,0.009371064177051983
1883.08,-0.04039807006964852
1883.09,0.026328678429327016
1883.1,-0.022039581890824028
1883.11,0.030459026860422095
1883.12,-0.026904450750685302
1884.01,-0.024681015284948052
1884.02,0.032144508230034716
1884.03,0.0013506643968410215
1884.04,-0.01986368632750692
1884.05,-0.055495428689934394
1884.06,-0.034881141810116346
1884.07,0.016809834685554303
1884.08,0.06834813122425935
1884.09,-0.015283168016336536
1884.1,-0.01604924397465158
1884.11,0.007962624969015293
1884.12,0.015123715961368432
1885.01,-0.01706270106947223
1885.02,0.024634354304952148
1885.03,0.031167273908737574
1885.04,-0.008286271016851206
1885.05,0.017236054206891265
1885.06,0.024684496091534325
1885.07,0.029892068489347785
1885.08,0.06071233961389917
1885.09,0.003769968922923525
1885.1,0.062327727511145896
1885.11,0.056271244826043565
1885.12,-0.026864626184095006
1886.01,0.027627275983111897
1886.02,0.02295246734397671
1886.03,-0.0051838798574301
1886.04,0.0023408022695201713
1886.05,0.008826593716834086
1886.06,0.06270619821500609
1886.07,0.006116578310297832
1886.08,-0.001415036578331331
1886.09,0.02947366731218323
1886.1,0.02870185878183418
1886.11,0.027969607348648194
1886.12,-0.0345357623825514
1887.01,-0.030871506360192574
1887.02,-0.015464774437912214
